Id	class	plant	Centroid_Size	Log_Centroid_Size	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26
23	Lax	23	38.37731846142742	3.6474666200153543	-0.3459712480215268	0.04995745101164792	-0.3459712480215268	-0.04995745101164792	-0.29874950156282787	0.0	-0.10828265208957369	0.04570538503588964	-0.10828265208957369	-0.04570538503588964	-0.008121415895875953	0.1023517276730482	-0.008121415895875953	-0.1023517276730482	-0.0701389197518831	0.03393263909133876	-0.0701389197518831	-0.03393263909133876	0.17421408056067528	0.0	0.2500287953070431	0.08294450446829589	0.2500287953070431	-0.08294450446829589	0.6895063019057854	0.0
24	Hib	24	41.01188783498619	3.7138093246782335	-0.3538007954448571	0.04918046197459	-0.35380079544485704	-0.04918046197459	-0.2847584652821259	0.0	-0.09135278987271811	0.03986690985049822	-0.09135278987271811	-0.03986690985049821	-0.0614912767382817	0.09024052451277018	-0.06149127673828169	-0.09024052451277018	-0.05181227282524997	0.027326771260455858	-0.05181227282524997	-0.027326771260455858	0.17196369916625934	0.0	0.26043468999095415	0.08418018332432423	0.2604346899909542	-0.08418018332432423	0.7088396558961719	0.0
25	Hib	25	35.118195203718116	3.5587193780306636	-0.37268095720090944	0.058756958648449195	-0.37268095720090944	-0.0587569586484492	-0.29580872085141824	0.0	-0.09252767804708878	0.041890887120136375	-0.09252767804708878	-0.04189088712013638	-0.056270859861534496	0.10768603664044903	-0.05627085986153449	-0.10768603664044901	-0.03492750156557725	0.03873638379804177	-0.03492750156557725	-0.038736383798041764	0.2115207354709827	0.0	0.28271590967408267	0.07597543927767904	0.28271590967408267	-0.07597543927767904	0.63167015938249	0.0
26	Hib	26	37.119438748846605	3.6141407878659315	-0.33108585780469957	0.05079827347836876	-0.33108585780469957	-0.050798273478368766	-0.27185703798578087	0.0	-0.12145365123100546	0.044039999346475144	-0.12145365123100546	-0.044039999346475144	-0.03344251573548031	0.11784756325603643	-0.033442515735480315	-0.11784756325603642	-0.0843563066527257	0.03683228909057974	-0.0843563066527257	-0.03683228909057974	0.15510062140579292	0.0	0.27997926543594953	0.07774567986762092	0.27997926543594953	-0.07774567986762092	0.6974745485559111	0.0
28	Lax	28	47.06797032020651	3.851554199814092	-0.32635557336233834	0.04977568606768842	-0.32635557336233834	-0.04977568606768842	-0.2590362503820578	0.0	-0.12484690134080541	0.04103750806376327	-0.12484690134080542	-0.04103750806376327	-0.024139065937132317	0.10797801834388611	-0.024139065937132317	-0.1079780183438861	-0.08677627456235987	0.033881656764432805	-0.08677627456235987	-0.033881656764432805	0.11790028129644213	0.0	0.2692324799279907	0.11405648320411722	0.2692324799279907	-0.11405648320411722	0.7269066396349061	0.0
29	Hib	29	21.628014260721258	3.073790291024936	-0.39104271392244705	0.07762763447498627	-0.39104271392244705	-0.07762763447498626	-0.29992130404537765	0.0	-0.11233578421569285	0.06408912401902922	-0.11233578421569285	-0.06408912401902922	0.05992976369161329	0.14720074263128358	0.0599297636916133	-0.14720074263128358	-0.06360990001600057	0.044504381856869675	-0.06360990001600057	-0.044504381856869675	0.2441723096835828	0.0	0.2696148349571503	0.07986224010415703	0.2696148349571503	-0.07986224010415703	0.5306365933725488	0.0
30	Hib	30	28.08903491450937	3.335352638256328	-0.4205107231707965	0.06597989957327746	-0.4205107231707965	-0.06597989957327746	-0.3279913370606266	0.0	-0.06278618612781453	0.049063007525351116	-0.06278618612781453	-0.049063007525351116	0.0015460159118761809	0.11295462786047837	0.00154601591187618	-0.11295462786047838	-0.022465895881229568	0.036730255486125525	-0.022465895881229568	-0.036730255486125525	0.24200224089862737	0.0	0.28187100199566256	0.07291694425843706	0.2818710019956625	-0.07291694425843706	0.5306806707066027	0.0
31	Lax	31	38.82467235702926	3.6575107311577226	-0.3267483985059037	0.05717587305037378	-0.32674839850590365	-0.05717587305037378	-0.2722614366761242	0.0	-0.11230133862273241	0.042761376937050635	-0.11230133862273242	-0.042761376937050635	-0.038576702798961755	0.12364887625495735	-0.038576702798961755	-0.12364887625495735	-0.07264329477161413	0.035922872438948594	-0.07264329477161413	-0.035922872438948594	0.1631137458579385	0.0	0.23846494272969665	0.10445181614922391	0.23846494272969665	-0.1044518161492239	0.7327572747572161	0.0
32	Lax	32	58.81795771818548	4.074152479735797	-0.3302283638742743	0.04757885551306065	-0.3302283638742743	-0.047578855513060646	-0.2800762609780906	0.0	-0.10708839418134983	0.039098084979521656	-0.10708839418134983	-0.039098084979521656	-0.013288011116010542	0.10033609967271909	-0.013288011116010542	-0.10033609967271909	-0.07431588712569803	0.03365671839023718	-0.07431588712569803	-0.03365671839023718	0.11679045457465184	0.0	0.22171063641557168	0.09564187249897567	0.22171063641557168	-0.09564187249897567	0.7697058461669608	0.0
33	Pen	33	16.4028931632145	2.797171097690139	-0.4453697877796195	0.09428346115880372	-0.4453697877796195	-0.09428346115880372	-0.3399523619850517	0.0	-0.10599985137337711	0.056033819539498035	-0.10599985137337711	-0.05603381953949803	0.2136140352250582	0.18358366461525974	0.2136140352250582	-0.18358366461525974	-0.05743132445546457	0.05114476122038686	-0.05743132445546458	-0.051144761220386865	0.2628035440254085	0.0	0.23042975373866165	0.07297791914225604	0.23042975373866165	-0.07297791914225604	0.40666316724912566	0.0
